rank,company,revenue,profit,num. of employees,sector,city,state,Website
204,American Electric Power,15561.4,1921.1,17408,Energy,Columbus,OH,https://www.aep.com
205,Nordstrom,15524,496,75000,Retailing,Seattle,WA,https://shop.nordstrom.com
206,Jacobs Engineering Group,15463.6,848,50000,Engineering & Construction,Dallas,TX,https://www.jacobs.com
207,Waste Management,15455,1670,44900,Business Services,Houston,TX,https://www.wm.com
208,C.H. Robinson Worldwide,15309.5,577,15427,Transportation,Eden Prairie,MN,https://www.chrobinson.com
209,PPG Industries,15146,1243,47600,Chemicals,Pittsburgh,PA,https://www.ppg.com
210,Booking Holdings,15066,4865,26400,Technology,Norwalk,CT,https://www.bookingholdings.com
211,Omnicom Group,14953.7,1339.1,70000,Business Services,New York,NY,https://www.omnicomgroup.com
212,Loews,14931,932,18605,Financials,New York,NY,https://www.loews.com
213,Ecolab,14906.3,1558.9,50200,Chemicals,St. Paul,MN,https://www.ecolab.com
214,Stryker,14884,2083,40000,Health Care,Kalamazoo,MI,https://www.stryker.com
215,Estée Lauder,14863,1785,48000,Household Products,New York,NY,https://www.elcompanies.com
216,Goodyear Tire & Rubber,14745,-311,63000,Motor Vehicles & Parts,Akron,OH,https://www.goodyear.com
217,Truist Financial,14664,3224,59000,Financials,Charlotte,NC,https://www.truist.com
218,Applied Materials,14608,2706,22000,Technology,Santa Clara,CA,https://www.appliedmaterials.com
219,BlackRock,14539,4476,16200,Financials,New York,NY,https://www.blackrock.com
220,Stanley Black & Decker,14442.2,955.8,59438,Household Products,New Britain,CT,https://www.stanleyblackanddecker.com
221,Freeport-McMoRan,14402,-239,27500,Energy,Phoenix,AZ,https://fcx.com
222,Texas Instruments,14383,5017,29768,Technology,Dallas,TX,https://www.ti.com
223,Biogen,14377.9,5888.5,7400,Health Care,Cambridge,MA,https://www.biogen.com
224,Parker-Hannifin,14320.3,1512.4,55610,Industrials,Cleveland,OH,https://www.parker.com
225,Reinsurance Group of America,14300,870,3188,Financials,Chesterfield,MO,https://www.rgare.com
226,Howmet Aerospace,14192,470,41700,Aerospace & Defense,Pittsburgh,PA,https://www.howmet.com
227,Automatic Data Processing,14175.2,2292.8,58000,Business Services,Roseland,NJ,https://www.adp.com
228,Uber Technologies,14147,-8506,26900,Technology,San Francisco,CA,https://www.uber.com
229,Illinois Tool Works,14109,2521,45000,Industrials,Glenview,IL,https://www.itw.com
230,DaVita,14101.5,811,65000,Health Care,Denver,CO,https://www.davita.com
231,Discover Financial Services,13989,2957,17200,Financials,Riverwoods,IL,https://www.discover.com
232,Land O&#8217;Lakes,13887.7,205.9,8000,"Food, Beverages & Tobacco",Arden Hills,MN,https://www.landolakesinc.com
